,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
356,Goedereede,2,NL,1564370539,93,51.82,3.98,63.0,5.82
357,Morant Bay,20,JM,1564370540,74,17.88,-76.41,84.2,10.29
358,Namatanai,94,PG,1564370544,84,-3.66,152.44,77.99,17.34
359,Gallup,1,US,1564370544,24,35.53,-108.74,78.8,6.93
360,Iquitos,0,PE,1564370545,94,-3.75,-73.25,71.6,0.76
361,Linxia,3,CN,1564370545,58,35.6,103.21,68.45,5.59
362,Chapais,1,CA,1564370546,88,49.78,-74.86,62.6,2.24
363,Mabopane,0,ZA,1564370548,56,-25.51,28.07,52.0,2.24
364,Karratha,41,AU,1564370355,22,-20.74,116.85,84.11,3.22
365,Codajas,16,BR,1564370335,72,-3.84,-62.06,73.31,0.74
366,Beloha,0,MG,1564370551,82,-25.17,45.06,60.53,7.07
367,Batagay,100,RU,1564370552,35,67.65,134.64,57.29,9.8
